status	file name	start (line,column)	end (line,column)	SQL statement	Oracle keyword count	Oracle keyword list	full statement
VERIFIED	example/source_code/java/example4.java	36,1	36,50	drop table basic_lob_table	0	 	      stmt.execute ("drop table basic_lob_table");
VERIFIED	example/source_code/java/example4.java	45,1	46,16	create table basic_lob_table (x varchar2 (30), b blob, c clob)	0	 	    stmt.execute ("create table basic_lob_table (x varchar2 (30), b blob, c clob)");
VERIFIED	example/source_code/java/example4.java	49,1	50,55	insert into basic_lob_table values ('one', '010101010101010101010101010101', 'onetwothreefour')	0	 	    stmt.execute ("insert into basic_lob_table values ('one', '010101010101010101010101010101', 'onetwothreefour')");
VERIFIED	example/source_code/java/example4.java	51,1	52,57	insert into basic_lob_table values ('two', '0202020202020202020202020202', 'twothreefourfivesix')	0	 	    stmt.execute ("insert into basic_lob_table values ('two', '0202020202020202020202020202', 'twothreefourfivesix')");
VERIFIED	example/source_code/java/example4.java	61,1	62,13	select * from basic_lob_table for update	0	 	    ResultSet rset = stmt.executeQuery ("select * from basic_lob_table for update");
VERIFIED	example/source_code/java/example4.java	85,1	85,63	select * from basic_lob_table	0	 	    rset = stmt.executeQuery ("select * from basic_lob_table");
VERIFIED	example/source_code/java/example1.java	25,1	25,65	select ENAME from EMP	0	 	    ResultSet rset = stmt.executeQuery ("select ENAME from EMP");
VERIFIED	example/source_code/java/example3.java	26,1	27,70	create or replace function RAISESAL (name CHAR, raise NUMBER) return NUMBER is begin return raise + 100000; end;	0	 	    stmt.execute ("create or replace function RAISESAL (name CHAR, raise NUMBER)                  return NUMBER is begin return raise + 100000; end;");
VERIFIED	example/source_code/java/example3.java	34,1	34,78	{? = call RAISESAL (?, ?)}	0	 	    CallableStatement cstmt = conn.prepareCall ("{? = call RAISESAL (?, ?)}");
VERIFIED	example/source_code/java/example2.java	25,1	25,58	delete from EMP where EMPNO = 1500	0	 	      stmt.execute ("delete from EMP where EMPNO = 1500");
VERIFIED	example/source_code/java/example2.java	34,1	34,57	delete from EMP where EMPNO = 507	0	 	      stmt.execute ("delete from EMP where EMPNO = 507");
VERIFIED	example/source_code/java/example2.java	45,1	46,77	insert into EMP (EMPNO, ENAME) values (?, ?)	0	 	    PreparedStatement pstmt =        conn.prepareStatement ("insert into EMP (EMPNO, ENAME) values (?, ?)");
VERIFIED	example/source_code/java/example5.java	30,1	30,48	drop table streamexample	0	 	      stmt.execute ("drop table streamexample");
VERIFIED	example/source_code/java/example5.java	39,1	40,54	create table streamexample (NAME varchar2 (256), DATA long)	0	 	    stmt.execute ("create table streamexample                     (NAME varchar2 (256), DATA long)");
VERIFIED	example/source_code/java/example5.java	46,1	48,59	insert into streamexample (data, name) values (?, ?)	0	 	    PreparedStatement pstmt =        conn.prepareStatement ("insert into streamexample                                (data, name) values (?, ?)");
VERIFIED	example/source_code/java/example5.java	54,1	56,49	select DATA from streamexample where NAME='StreamExample'	0	 	    ResultSet rset =        stmt.executeQuery ("select DATA from streamexample where                           NAME='StreamExample'");
