include category	type	keyword	file name	start line	end line	full statement
jdbc-keyword	FUNCTION	execute	example/source_code/java/example4.java	36	36	      stmt.execute ("drop table basic_lob_table");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example4.java	45	46	    stmt.execute ("create table basic_lob_table (x varchar2 (30), b blob, c clob)");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example4.java	49	50	    stmt.execute ("insert into basic_lob_table values ('one', '010101010101010101010101010101', 'onetwothreefour')");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example4.java	51	52	    stmt.execute ("insert into basic_lob_table values ('two', '0202020202020202020202020202', 'twothreefourfivesix')");
jdbc-keyword	VARIABLE	executeQuery	example/source_code/java/example4.java	61	62	    ResultSet rset = stmt.executeQuery ("select * from basic_lob_table for update");
jdbc-keyword	VARIABLE	executeQuery	example/source_code/java/example4.java	85	85	    rset = stmt.executeQuery ("select * from basic_lob_table");
jdbc-keyword	VARIABLE	executeQuery	example/source_code/java/example1.java	25	25	    ResultSet rset = stmt.executeQuery ("select ENAME from EMP");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example3.java	26	27	    stmt.execute ("create or replace function RAISESAL (name CHAR, raise NUMBER)                  return NUMBER is begin return raise + 100000; end;");
jdbc-keyword	VARIABLE	prepareCall	example/source_code/java/example3.java	34	34	    CallableStatement cstmt = conn.prepareCall ("{? = call RAISESAL (?, ?)}");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example3.java	44	46	    cstmt.execute ();      
jdbc-keyword	FUNCTION	execute	example/source_code/java/example2.java	25	25	      stmt.execute ("delete from EMP where EMPNO = 1500");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example2.java	34	34	      stmt.execute ("delete from EMP where EMPNO = 507");
jdbc-keyword	VARIABLE	prepareStatement	example/source_code/java/example2.java	45	46	    PreparedStatement pstmt =        conn.prepareStatement ("insert into EMP (EMPNO, ENAME) values (?, ?)");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example2.java	52	52	    pstmt.execute ();
jdbc-keyword	FUNCTION	execute	example/source_code/java/example2.java	58	58	    pstmt.execute ();
jdbc-keyword	FUNCTION	execute	example/source_code/java/example5.java	30	30	      stmt.execute ("drop table streamexample");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example5.java	39	40	    stmt.execute ("create table streamexample                     (NAME varchar2 (256), DATA long)");
jdbc-keyword	VARIABLE	prepareStatement	example/source_code/java/example5.java	46	48	    PreparedStatement pstmt =        conn.prepareStatement ("insert into streamexample                                (data, name) values (?, ?)");
jdbc-keyword	FUNCTION	execute	example/source_code/java/example5.java	51	51	    pstmt.execute ();
jdbc-keyword	VARIABLE	executeQuery	example/source_code/java/example5.java	54	56	    ResultSet rset =        stmt.executeQuery ("select DATA from streamexample where                           NAME='StreamExample'");
